ID,Gender,Nationality,Major,Level,IE1,SMSK3,RAS1,RAS2,SMSK1,SMSK4,IE2,TL1,RAS3,IE3,RAS4,RAS5,IE4,SMSK2,TL2,TL3,PSD1,PSD2,PSD3,IE5,PSD4,PSD5,IM1,IM2,IM3,IM4,IM5,IM6,W1,W2,W3,Employed,Score,Class
39,1,1,0,2,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,4,4,4,3,4,3,4,4,4,1,3.94,1
40,0,1,0,2,4,4,4,3,1,2,4,4,3,2,4,3,3,4,4,4,4,3,3,3,3,3,1,3,2,4,3,3,1,1,3,1,3.55,0
41,0,1,0,1,4,3,4,3,3,3,3,4,3,3,3,3,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,3,,1,3.65,1
42,0,0,0,2,3,2,3,3,2,2,3,3,2,2,2,3,3,2,3,3,3,3,3,3,2,2,3,2,3,2,3,2,3,3,3,1,3.29,0
43,0,0,0,2,3,3,4,3,2,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,1,1,3.75,1
44,0,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,,3,,1,3.7,0
45,0,1,0,2,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3.89,0
46,0,0,0,2,4,3,3,3,4,3,3,4,3,3,3,1,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2,1,3.18,1
47,0,1,0,1,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,1,1,3,1
48,0,1,1,3,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,1,3.19,1
49,1,1,1,2,4,4,4,4,3,3,4,3,4,4,3,2,4,3,4,4,4,3,3,3,3,3,3,3,4,4,3,4,4,4,1,1,3.55,0
50,1,0,1,2,3,3,4,3,3,3,2,3,4,3,4,2,4,3,3,4,3,2,2,2,3,2,3,3,3,4,3,3,3,3,1,1,3.14,0
51,1,0,0,2,4,4,4,3,4,4,4,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,4,4,1,3.7,0
52,1,0,1,2,4,3,3,4,3,3,4,3,4,3,4,3,3,4,3,2,3,4,4,3,2,4,4,3,2,3,2,2,3,3,,1,3.44,0
53,0,0,0,2,3,3,3,4,4,3,4,4,4,3,4,1,3,4,3,3,3,3,2,3,2,3,1,1,3,3,2,2,4,2,4,1,3.94,0
54,0,0,1,2,3,4,4,3,4,3,3,3,3,3,4,4,4,4,4,3,3,4,3,3,4,4,4,4,3,3,3,3,3,2,3,1,3.21,0
55,0,0,1,2,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,4,4,3,1,3.65,0
56,0,1,1,2,4,3,4,4,3,4,4,3,4,3,4,3,4,3,4,4,4,4,4,3,4,3,4,4,3,3,4,4,3,4,1,1,3.22,1
57,0,0,0,2,4,3,4,2,3,3,3,3,1,3,3,2,3,2,2,3,4,4,2,3,3,3,3,3,4,4,3,3,3,3,3,1,3.5,0
58,0,0,0,2,3,4,2,3,3,4,4,3,4,2,3,3,3,4,4,3,4,3,4,3,3,4,4,4,2,3,4,4,3,2,3,1,3.42,1
59,0,1,0,2,4,3,4,4,3,2,2,4,1,2,3,2,2,2,2,1,1,1,1,1,2,2,1,4,4,2,2,2,2,2,3,1,3.28,0
60,0,0,0,2,3,3,2,4,3,4,3,3,3,3,4,3,3,3,3,4,4,3,2,3,3,3,3,3,4,4,4,3,4,4,4,1,3.4,0
61,0,0,1,2,3,1,3,3,1,2,3,4,3,3,4,1,3,2,3,4,3,3,4,2,2,2,4,4,3,2,1,1,1,1,1,0,3.81,0
62,0,1,0,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3.45,0
63,0,0,1,2,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,1,3.6,1
64,0,0,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,1,,3.67,1
65,0,0,0,2,4,2,4,2,3,4,3,4,3,3,4,3,3,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,3,4,1,3.75,1
66,1,0,1,2,3,3,4,3,1,2,4,1,3,3,3,2,2,3,1,1,1,1,2,3,1,1,4,1,3,3,4,3,3,2,1,1,3.75,0
67,0,0,0,2,4,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,2,2,4,4,1,0,3.06,0
68,0,0,1,2,3,1,3,1,1,2,3,4,3,2,4,3,2,3,3,3,1,3,3,1,3,3,1,1,4,3,1,3,4,1,,0,3.4,0
69,0,0,1,2,4,1,4,4,2,2,2,3,3,3,3,3,3,3,4,4,4,4,2,3,3,3,1,4,4,4,4,2,1,3,1,1,3.29,1
70,1,0,1,2,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,2,1,3.44,1
71,0,1,1,2,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,1,3.58,1
72,1,0,1,2,4,3,3,4,3,3,4,4,4,4,4,2,4,3,3,2,3,3,3,3,3,4,4,4,3,3,4,3,3,3,,1,3.56,0
73,1,1,0,2,3,3,3,4,4,4,4,4,4,4,4,2,3,3,2,3,4,3,4,2,4,3,4,4,4,4,4,4,2,3,4,1,3.95,1
74,0,0,1,2,3,2,3,4,2,3,3,3,4,3,4,2,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,2,0,3.67,0
75,1,0,1,2,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,3,4,4,3,4,4,4,4,3,3,1,3.69,1
76,0,0,1,3,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,3,3,,,,0,0,0
77,1,1,0,2,4,4,4,4,3,3,3,4,3,3,3,3,3,4,4,4,3,3,4,3,3,3,4,3,4,3,4,3,4,4,4,1,3.35,0
78,1,0,0,2,2,2,1,4,3,2,3,2,4,2,3,3,2,2,2,4,3,3,1,2,3,2,3,2,4,1,1,2,3,2,1,1,3.65,0
79,0,0,0,2,4,3,4,4,2,2,4,3,3,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3.7,1
80,0,1,0,2,3,3,3,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,4,4,4,3,2,3,3,4,1,3,3,1,1,4,0
81,0,0,1,2,3,2,2,4,2,3,3,3,4,3,3,2,3,3,3,3,4,3,3,3,3,3,2,3,4,3,3,2,3,2,2,1,3.27,0
82,0,0,0,2,3,3,4,4,3,3,4,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,3,4,3,4,,1,3.31,0
83,0,0,1,2,3,1,3,4,1,1,3,1,4,1,4,1,4,4,1,1,4,4,1,1,1,1,1,2,3,3,1,3,,,,0,3.5,0
84,0,1,0,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,3,3,,1,3.94,1
85,0,0,1,2,2,3,3,3,2,2,3,4,3,2,3,1,3,4,4,4,3,3,3,3,3,2,3,3,3,3,2,3,1,3,3,1,3.64,0
86,1,0,1,2,3,4,1,1,3,1,1,4,4,3,4,1,3,3,3,3,3,3,2,3,3,3,4,4,4,4,4,2,3,2,1,1,3.28,1
87,0,1,0,2,4,4,3,3,3,3,4,4,3,3,4,3,3,4,3,4,4,4,3,3,3,3,4,2,3,4,4,4,3,4,3,1,3.61,1
88,1,1,0,2,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,2,4,4,,1,3.67,0
89,1,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,3.24,0
90,1,0,1,2,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,3,1,3.69,1
91,1,0,1,2,4,3,3,4,2,3,3,4,4,3,4,3,4,3,3,3,4,4,4,3,3,3,3,4,3,4,4,3,3,3,3,1,3.44,0
92,1,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,3,3,3,1,3.19,0
